id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
27623,YHOV,small_airport,Hodgeson River Airfield,-15.54594,134.0956,385,OC,AU,AU-NT,Hodgeson River,0,YHOV,,,,,,50,2013-07-25T10:50:31+00:00
27546,YELN,small_airport,Elliston Airport,-33.63830185,134.89999389648400,20,OC,AU,AU-SA,http://www.elliston.sa.gov.au,0,YELN,,,,http://en.wikipedia.org/wiki/District_Council_of_Elliston,,50,2009-04-28T05:17:44+00:00
42507,AU-0022,small_airport,Cardabia Station Airstrip,-23.10602379,113.80522918701200,5,OC,AU,AU-WA,Indigenous Land Corporation,0,,,,,,,50,2008-11-29T08:18:58+00:00
28472,YILW,small_airport,Inglewood Airport,-28.4188,151.0955,840,OC,AU,AU-QLD,Inglewood,0,YILW,,,,,,50,2015-10-12T11:15:05+00:00
27638,YINJ,small_airport,Injune Airport,-25.851,148.5497,401,OC,AU,AU-QLD,Injune,0,YINJ,INJ,,,,,50,2015-06-28T16:48:38+00:00
31689,YINW,small_airport,Inverway Airport,-17.84110069,129.6430054,,OC,AU,AU-NT,Inverway,0,YINW,IVW,,,,,50,2009-10-23T18:44:14+00:00
27698,YKPR,small_airport,Kalpowar Airport,-14.89,144.22,90,OC,AU,AU-QLD,Kalpower,0,YKPR,KPP,,,,,50,2015-02-08T19:23:15+00:00
27668,YKBL,small_airport,Kambalda Airport,-31.1907,121.5978,1073,OC,AU,AU-WA,Kambalda,0,YKBL,KDB,,,http://en.wikipedia.org/wiki/Kambalda_Airport,,50,2014-12-18T23:05:21+00:00
31723,AU-KBD,small_airport,Kimberley Downs Airport,-17.39780045,124.3550033569340,,OC,AU,AU-WA,Kimberley Downs,0,,KBD,,,,,50,2008-06-13T14:30:04+00:00
31722,YKIR,small_airport,Kirkimbie Station Airport,-17.7791996,129.2100067,,OC,AU,AU-NT,Kirkimbie,0,YKIR,KBB,,,,,50,2009-10-23T18:46:03+00:00
31755,YKLB,small_airport,Koolburra Airport,-15.31890011,143.9550018310550,350,OC,AU,AU-QLD,Koolburra,0,YKLB,KKP,,,,,50,2008-06-26T14:52:34+00:00
42269,AU-0020,small_airport,Kukerin,-33.17490005,118.08499908447300,850,OC,AU,AU-WA,Kukerin WA,0,,,,,,,50,2008-10-14T10:22:02+00:00
31745,AU-KGR,small_airport,Kulgera Airport,-25.84280014,133.29200744628900,,OC,AU,AU-NT,Kulgera,0,,KGR,,,,,50,2008-06-13T14:30:04+00:00
27385,YBIZ,small_airport,Bizant Airport,-14.74027778,144.1194444,65,OC,AU,AU-QLD,Lakefield National Park,0,YBIZ,BZP,,,,,50,2012-08-09T15:27:32+00:00
