id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
30287,YPRE,small_airport,Premer Betoota Airport,-31.4769001,149.9029998779300,1257,OC,AU,AU-NSW,,0,YPRE,,,,,,50,2008-08-01T07:48:14+00:00
30310,YQBE,small_airport,Quambone Royona Airport,-30.87919998,147.8419952392580,489,OC,AU,AU-NSW,,0,YQBE,,,,,,50,2008-08-01T07:48:25+00:00
30471,YTLG,small_airport,Taralga Grathawa Airport,-34.28919983,149.78199768066400,3031,OC,AU,AU-NSW,,0,YTLG,,,,,,50,2008-08-01T07:50:44+00:00
30507,YUPH,small_airport,Upper Horton Wyl Airport,-30.10470009,150.4040069580080,1253,OC,AU,AU-NSW,,0,YUPH,,,,,,50,2008-08-01T07:51:33+00:00
30565,YWVL,small_airport,Woodville Airport,-30.41609955,151.7550048828130,3707,OC,AU,AU-NSW,,0,YWVL,,,,,,50,2008-08-01T07:53:26+00:00
30566,YWMA,small_airport,Wonnaminta Stat Airport,-30.65110016,142.3419952392580,610,OC,AU,AU-NSW,,0,YWMA,,,,,,50,2008-08-01T07:52:41+00:00
30568,YWDS,small_airport,Woodside Au Airport,-35.13330078,145.66700744628900,354,OC,AU,AU-NSW,,0,YWDS,,,,,,50,2008-08-01T07:52:03+00:00
38227,YALN,small_airport,Allandy Airport,-30.38330078,142.60000610351600,,OC,AU,AU-NSW,,0,YALN,,,,,,50,2008-08-01T07:34:14+00:00
38237,YBAO,small_airport,Braidwood Airport,-35.45000076,149.85000610351600,,OC,AU,AU-NSW,,0,YBAO,,,,,,50,2008-08-01T07:34:41+00:00
38241,YBCL,small_airport,Boolcarrol Station Airport,-30.04999924,149.41700744628900,,OC,AU,AU-NSW,,0,YBCL,,,,,,50,2008-08-01T07:34:50+00:00
38247,YBEW,small_airport,Beechworth Airport,-31.91670036,144.63299560546900,,OC,AU,AU-NSW,,0,YBEW,,,,,,50,2008-08-01T07:35:05+00:00
38264,YBVL,small_airport,Blackville Airport,-31.58329964,150.18299865722700,,OC,AU,AU-NSW,,0,YBVL,,,,,,50,2008-08-01T07:35:58+00:00
38271,YBZA,small_airport,Breeza Airport,-31.31669998,150.51699829101600,,OC,AU,AU-NSW,,0,YBZA,,,,,,50,2008-08-01T07:36:13+00:00
38288,YCLM,small_airport,Collymongle Airport,-29.45330048,148.7429962158200,,OC,AU,AU-NSW,,0,YCLM,,,,,,50,2008-08-01T07:36:58+00:00
38289,YCLT,small_airport,Collector Airport,-34.88330078,149.41700744628900,,OC,AU,AU-NSW,,0,YCLT,,,,,,50,2008-08-01T07:37:00+00:00
38292,YCNO,small_airport,Conargo Airport,-35.31669998,145.11700439453100,,OC,AU,AU-NSW,,0,YCNO,,,,,,50,2008-08-01T07:37:09+00:00
38337,YEGA,small_airport,Engonnia Airport,-29.31669998,145.83299255371100,,OC,AU,AU-NSW,,0,YEGA,,,,,,50,2008-08-01T07:39:15+00:00
38373,YGTP,small_airport,Greenthorpe Airport,-33.98329926,148.41700744628900,,OC,AU,AU-NSW,,0,YGTP,,,,,,50,2008-08-01T07:40:51+00:00
38397,YILT,heliport,Milton Airport,-35.32080078,150.4389954,,OC,AU,AU-NSW,,0,YILT,,,,,,50,2014-06-23T01:45:01+00:00
38424,YLAN,small_airport,Langawirra Airport,-31.45000076,142.13299560546900,,OC,AU,AU-NSW,,0,YLAN,,,,,,50,2008-08-01T07:42:54+00:00
38427,YLEE,small_airport,Leeton Airport,-34.499788,146.446646,460,OC,AU,AU-NSW,,0,YLEE,,,,,,50,2018-03-02T16:31:35+00:00
38465,YMED,small_airport,Menindee Airport,-32.36669922,142.40499877929700,,OC,AU,AU-NSW,,0,YMED,,,,,,50,2008-08-01T07:44:29+00:00
38468,YMEY,small_airport,Mullaley Airport,-31.10000038,149.91700744628900,,OC,AU,AU-NSW,,0,YMEY,,,,,,50,2008-08-01T07:44:36+00:00
38480,YMLN,small_airport,Monolon Airport,-30.20000076,143.23300170898400,,OC,AU,AU-NSW,,0,YMLN,,,,,,50,2008-08-01T07:45:03+00:00
38594,YTAD,small_airport,Tandou Lake Airport,-32.63330078,142.08299255371100,,OC,AU,AU-NSW,,0,YTAD,,,,,,50,2008-08-01T07:50:06+00:00
38611,YTMS,small_airport,Tambar Springs Airport,-31.31500053,149.8470001220700,,OC,AU,AU-NSW,,0,YTMS,,,,,,50,2008-08-01T07:50:51+00:00
38612,YTNC,small_airport,Tuncurry Airport,-32.15000153,152.48300170898400,,OC,AU,AU-NSW,,0,YTNC,,,,,,50,2008-08-01T07:50:55+00:00
38616,YTOG,small_airport,Togo Station Airport,-30.0821991,149.53199768066400,,OC,AU,AU-NSW,,0,YTOG,,,,,,50,2008-08-01T07:51:03+00:00
38644,YWIL,small_airport,Wilandra Airport,-31.2833004,142.66700744628900,,OC,AU,AU-NSW,,0,YWIL,,,,,,50,2008-08-01T07:52:24+00:00
38650,YWLX,small_airport,Wallacia Airport,-33.86669922,150.64999389648400,,OC,AU,AU-NSW,,0,YWLX,,,,,,50,2008-08-01T07:52:39+00:00
