Airport Code,AirportName,CityName,CountryName,CountryCode,Latitude,Longitude,World Area Code,,,
GUL,Goulburn,Goulburn,Australia,AU,-33.833333,151.833333,802,,,
KRA,Kerang,Kerang,Australia,AU,-35.75,143.933333,802,,,
MQZ,Margaret River,Margaret River,Australia,AU,-18.633333,126.866667,802,,,
CWT,Cowra,Cowra,Australia,AU,-33.85,148.65,802,,,
USL,Useless Loop,Useless Loop,Australia,AU,-25.966667,113.116667,802,,,
WGE,Walgett,Walgett,Australia,AU,-30.033333,148.133333,802,,,
IFF,Iffley,Iffley,Australia,AU,-18.916667,141.25,802,,,
LGH,Leigh Creek,Leigh Creek,Australia,AU,-30.466667,138.416667,802,,,
XZX,Off line Point,Rail,Australia,AU,37.716667,28.966667,802,,,
CSD,Cresswell Downs,Cresswell Downs,Australia,AU,-17.966667,135.916667,802,,,
MFL,Mount Full Stop,Mount Full Stop,Australia,AU,-19.666667,144.9,802,,,
KGR,Kulgera,Kulgera,Australia,AU,-25.833333,133.5,802,,,
BFC,Bloomfield,Bloomfield,Australia,AU,-15.9,145.333333,802,,,
JFM,Heliport,Fremantle,Australia,AU,-32.043333,115.739444,802,,,
CTR,Cattle Creek,Cattle Creek,Australia,AU,-17.583333,131.0,802,,,
WGT,Wangaratta,Wangaratta,Australia,AU,-36.366667,146.333333,802,,,
BVW,Batavia Downs,Batavia Downs,Australia,AU,-12.45,143.25,802,,,
LSY,Lismore,Lismore,Australia,AU,-28.833333,153.266667,802,,,
TXR,Tanbar,Tanbar,Australia,AU,-25.833333,141.916667,802,,,
HAT,Heathlands,Heathlands,Australia,AU,-19.720833,140.583333,802,,,
TCA,Tennant Creek,Tennant Creek,Australia,AU,-19.533333,134.4,802,,,
DYA,Dysart,Dysart,Australia,AU,-22.533333,149.383333,802,,,
IFL,Innisfail,Innisfail,Australia,AU,-17.566667,146.033333,802,,,
MRL,Miners Lake,Miners Lake,Australia,AU,-20.066667,145.583333,802,,,
WIN,Winton,Winton,Australia,AU,-22.35,143.066667,802,,,
WLC,Walcha,Walcha,Australia,AU,-30.983333,151.6,802,,,
IVW,Inverway,Inverway,Australia,AU,-17.766667000000000,129.233333,802,,,
TAN,Tangalooma,Tangalooma,Australia,AU,-27.178056,153.373611,802,,,
KRB,Karumba,Karumba,Australia,AU,-17.5,140.866667,802,,,
ZNE,Newman,Newman,Australia,AU,-23.416667,119.933333,802,,,
XTO,Taroom,Taroom,Australia,AU,-25.65,149.8,802,,,
KBD,Kimberley Downs,Kimberley Downs,Australia,AU,-17.4,124.366667,802,,,
KOH,Koolatah,Koolatah,Australia,AU,-15.966667,142.416667,802,,,
JAB,Jabiru,Jabiru,Australia,AU,-10.216667,132.566667,802,,,
FOS,Forrest,Forrest,Australia,AU,-30.838056,128.115,802,,,
SOI,South Molle Island,South Molle Island,Australia,AU,-20.0,149.0,802,,,
LIB,Limbunya,Limbunya,Australia,AU,-17.333333,129.833333,802,,,
TUM,Tumut,Tumut,Australia,AU,-35.3,148.216667,802,,,
BRK,Bourke,Bourke,Australia,AU,-30.05,145.95,802,,,
PPI,Port Pirie,Port Pirie,Australia,AU,-33.233333,138.0,802,,,
DVR,Daly River,Daly River,Australia,AU,-13.75,130.683333,802,,,
DRB,Derby,Derby,Australia,AU,-17.366667,123.65,802,,,
DNB,Dunbar,Dunbar,Australia,AU,-16.083333,142.416667,802,,,
MYI,Murray Island,Murray Island,Australia,AU,-9.933333,144.016667,802,,,
MMG,Mount Magnet,Mount Magnet,Australia,AU,-28.083333,117.85,802,,,
EDD,Erldunda,Erldunda,Australia,AU,-25.25,133.2,802,,,
MTQ,Mitchell,Mitchell,Australia,AU,-26.583333,147.966667,802,,,
RRE,Marree,Marree,Australia,AU,-29.65,138.066667,802,,,
RPB,Roper Bar,Roper Bar,Australia,AU,-14.75,134.55,802,,,
UTD,Nutwood Downs,Nutwood Downs,Australia,AU,-15.833333,134.166667,802,,,
WOG,Woodgreen,Woodgreen,Australia,AU,-22.5,134.25,802,,,
HXX,Hay,Hay,Australia,AU,-34.516667,144.833333,802,,,
