_id,city1,city2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
471,adelaide,melbourne,Dec-84,49776,621,68.7,643,32005968,46588017,72454,1984,12
472,adelaide,perth,Dec-84,16358,133,85.9,2120,34678960,40371315,19043,1984,12
473,adelaide,sydney,Dec-84,35490,355,79.7,1167,41416830,51965910,44529,1984,12
474,albury,sydney,Dec-84,10929,192,81.4,452,4939908,6068683,13426,1984,12
475,alice springs,darwin,Dec-84,6103,67,64.9,1305,7964415,12271826,9404,1984,12
476,alice springs,sydney,Dec-84,2349,23,73.7,2022,4749678,6444611,3187,1984,12
477,brisbane,cairns,Dec-84,2548,37,70.6,1391,3544268,5020210,3609,1984,12
478,brisbane,canberra,Dec-84,272,5,45.8,956,260032,567755,594,1984,12
479,brisbane,darwin,Dec-84,3931,36,75.1,2852,11211212,14928378,5234,1984,12
480,brisbane,mackay,Dec-84,1002,37,71.0,797,798594,1124780,1411,1984,12
481,brisbane,melbourne,Dec-84,31252,348,78.9,1381,43159012,54700902,39610,1984,12
482,brisbane,perth,Dec-84,811,6,81.3,3615,2931765,3606107,998,1984,12
483,brisbane,proserpine,Dec-84,6269,92,70.3,895,5610755,7981159,8917,1984,12
484,brisbane,rockhampton,Dec-84,19088,278,77.5,518,9887584,12758173,24630,1984,12
485,brisbane,sydney,Dec-84,94457,955,75.7,753,71126121,93957888,124778,1984,12
486,brisbane,townsville,Dec-84,33753,370,84.1,1112,37533336,44629413,40134,1984,12
487,broome,perth,Dec-84,430,9,70.5,1677,721110,1022851,610,1984,12
488,cairns,sydney,Dec-84,341,4,75.8,1971,672111,886690,450,1984,12
489,canberra,melbourne,Dec-84,23742,324,63.5,470,11158740,17572819,37389,1984,12
490,canberra,sydney,Dec-84,37285,666,60.2,236,8799260,14616711,61935,1984,12
491,coffs harbour,sydney,Dec-84,6536,169,74.6,443,2895448,3881298,8761,1984,12
492,darwin,sydney,Dec-84,1191,10,82.7,3155,3757605,4543658,1440,1984,12
493,devonport,melbourne,Dec-84,9120,279,72.7,412,3757440,5168418,12545,1984,12
494,dubbo,sydney,Dec-84,5306,138,73.3,310,1644860,2244011,7239,1984,12
495,gold coast,sydney,Dec-84,36586,456,73.3,680,24878480,33940628,49913,1984,12
496,hobart,melbourne,Dec-84,26165,343,73.2,618,16169970,22090123,35745,1984,12
497,kalgoorlie,perth,Dec-84,5241,206,63.4,538,2819658,4447410,8267,1984,12
498,karratha,perth,Dec-84,8287,223,56.0,1250,10358750,18497768,14798,1984,12
499,launceston,melbourne,Dec-84,34452,555,72.3,476,16399152,22682091,47651,1984,12
500,melbourne,burnie,Dec-84,8132,251,72.6,378,3073896,4234017,11201,1984,12
501,melbourne,gold coast,Dec-84,13906,132,79.4,1330,18494980,23293426,17514,1984,12
502,melbourne,mildura,Dec-84,2950,295,37.5,457,1348150,3595067,7867,1984,12
503,melbourne,perth,Dec-84,28065,214,82.0,2706,75943890,92614500,34226,1984,12
504,melbourne,sydney,Dec-84,139343,1309,72.6,706,98376158,135504350,191933,1984,12
505,perth,sydney,Dec-84,16750,121,87.0,3284,55007000,63226437,19253,1984,12
506,sunshine coast,sydney,Dec-84,5779,126,73.1,837,4837023,6616995,7906,1984,12
507,sydney,townsville,Dec-84,4987,55,83.0,1690,8428030,10154253,6008,1984,12
508,sydney,wagga wagga,Dec-84,4785,151,61.4,367,1756095,2860090,7793,1984,12
509,adelaide,alice springs,Jan-85,13321,126,75.8,1316,17530436,23127224,17574,1985,1
510,adelaide,brisbane,Jan-85,4025,31,99.2,1622,6528550,6581200,4057,1985,1
511,adelaide,canberra,Jan-85,1683,16,85.0,972,1635876,1924560,1980,1985,1
512,adelaide,darwin,Jan-85,4819,42,77.3,2619,12620961,16327246,6234,1985,1
513,adelaide,gold coast,Jan-85,1781,17,77.2,1607,2862067,3707341,2307,1985,1
514,adelaide,melbourne,Jan-85,53416,656,66.3,643,34346488,51804658,80567,1985,1
515,adelaide,perth,Jan-85,19271,138,87.3,2120,40854520,46797847,22074,1985,1
516,adelaide,sydney,Jan-85,38222,358,79.8,1167,44605074,55896083,47897,1985,1
517,albury,sydney,Jan-85,11133,191,83.9,452,5032116,5997754,13269,1985,1
518,alice springs,darwin,Jan-85,7901,92,60.2,1305,10310805,17127583,13125,1985,1
519,alice springs,sydney,Jan-85,2927,30,69.1,2022,5918394,8564970,4236,1985,1
520,brisbane,cairns,Jan-85,397,7,64.7,1391,552227,853519,614,1985,1
521,brisbane,canberra,Jan-85,262,4,64.2,956,250472,390143,408,1985,1
522,brisbane,darwin,Jan-85,5276,41,77.1,2852,15047152,19516410,6843,1985,1
523,brisbane,mackay,Jan-85,493,14,74.2,797,392921,529543,664,1985,1
524,brisbane,melbourne,Jan-85,35315,385,80.3,1381,48770015,60734763,43979,1985,1
525,brisbane,perth,Jan-85,708,4,99.7,3615,2559420,2567121,710,1985,1
526,brisbane,proserpine,Jan-85,7722,84,80.8,895,6911190,8553453,9557,1985,1
527,brisbane,rockhampton,Jan-85,20845,280,76.2,518,10797710,14170223,27356,1985,1
528,brisbane,sydney,Jan-85,97198,933,72.3,753,73190094,101231112,134437,1985,1
529,brisbane,townsville,Jan-85,36064,366,85.4,1112,40103168,46959213,42230,1985,1
530,broome,perth,Jan-85,391,8,72.9,1677,655707,899461,536,1985,1
531,cairns,sydney,Jan-85,61,1,66.3,1971,120231,181344,92,1985,1
532,canberra,melbourne,Jan-85,23079,321,62.4,470,10847130,17383221,36986,1985,1
533,canberra,sydney,Jan-85,38295,697,57.0,236,9037620,15855474,67184,1985,1
