_id,city1,city2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
13979,darwin,melbourne,Sep-07,13251,117,86.8,3131,41488881,47822894,15274,2007,9
13980,darwin,sydney,Sep-07,0,0,0.0,3155,0,0,0,2007,9
13981,devonport,melbourne,Sep-07,0,0,0.0,412,0,0,0,2007,9
13982,dubbo,sydney,Sep-07,16014,605,76.6,310,4964340,6484270,20917,2007,9
13983,gold coast,sydney,Sep-07,181157,1334,82.3,680,123186760,149686360,220127,2007,9
13984,hervey bay,sydney,Sep-07,13157,94,86.5,973,12801761,14807114,15218,2007,9
13985,hobart,melbourne,Sep-07,81956,631,80.9,618,50648808,62585478,101271,2007,9
13986,hobart,sydney,Sep-07,36228,274,79.1,1039,37640892,47606980,45820,2007,9
13987,kalgoorlie,perth,Sep-07,20303,220,77.6,538,10923014,14078384,26168,2007,9
13988,karratha,perth,Sep-07,0,0,0.0,1250,0,0,0,2007,9
13989,launceston,melbourne,Sep-07,60307,603,79.2,476,28706132,36261680,76180,2007,9
13990,launceston,sydney,Sep-07,17545,120,82.1,914,16036130,19523040,21360,2007,9
13991,melbourne,burnie,Sep-07,0,0,0.0,378,0,0,0,2007,9
13992,melbourne,gold coast,Sep-07,118525,759,91.1,1330,157638250,173124770,130169,2007,9
13993,melbourne,mildura,Sep-07,13201,486,74.8,457,6032857,8067421,17653,2007,9
13994,melbourne,newcastle,Sep-07,29684,328,82.3,836,24815824,30158700,36075,2007,9
13995,melbourne,perth,Sep-07,133226,781,80.0,2706,360509556,450833130,166605,2007,9
13996,melbourne,sydney,Sep-07,553188,3705,78.0,706,390550728,500926062,709527,2007,9
13997,perth,port hedland,Sep-07,0,0,0.0,1312,0,0,0,2007,9
13998,perth,sydney,Sep-07,109897,506,84.7,3284,360901748,425878972,129683,2007,9
13999,sunshine coast,melbourne,Sep-07,33744,215,90.8,1454,49063776,54037910,37165,2007,9
14000,sunshine coast,sydney,Sep-07,34197,224,88.1,837,28622889,32492340,38820,2007,9
14001,sydney,townsville,Sep-07,14861,102,84.0,1690,25115090,29885960,17684,2007,9
14002,sydney,wagga wagga,Sep-07,16282,535,76.2,367,5975494,7839120,21360,2007,9
14003,adelaide,alice springs,Oct-07,0,0,0.0,1316,0,0,0,2007,10
14004,adelaide,brisbane,Oct-07,62314,427,89.0,1622,101073308,113577306,70023,2007,10
14005,adelaide,canberra,Oct-07,19857,167,76.6,972,19301004,25202016,25928,2007,10
14006,adelaide,gold coast,Oct-07,18015,122,87.8,1607,28950105,32988496,20528,2007,10
14007,adelaide,melbourne,Oct-07,167237,1354,79.7,643,107533391,134903972,209804,2007,10
14008,adelaide,perth,Oct-07,53172,363,88.6,2120,112724640,127278440,60037,2007,10
14009,adelaide,port lincoln,Oct-07,0,0,0.0,246,0,0,0,2007,10
14010,adelaide,sydney,Oct-07,142401,1053,84.0,1167,166181967,197919699,169597,2007,10
14011,albury,sydney,Oct-07,14620,477,73.8,452,6608240,8948696,19798,2007,10
14012,alice springs,sydney,Oct-07,0,0,0.0,2022,0,0,0,2007,10
14013,ballina,sydney,Oct-07,23923,322,84.2,612,14640876,17380188,28399,2007,10
14014,brisbane,cairns,Oct-07,111530,767,85.9,1391,155138230,180679772,129892,2007,10
14015,brisbane,canberra,Oct-07,56924,532,76.0,956,54419344,71634992,74932,2007,10
14016,brisbane,darwin,Oct-07,28033,177,79.1,2852,79950116,101120512,35456,2007,10
14017,brisbane,hamilton island,Oct-07,17723,124,86.6,888,15738024,18170256,20462,2007,10
14018,brisbane,hobart,Oct-07,12299,87,86.7,1791,22027509,25419663,14193,2007,10
14019,brisbane,mackay,Oct-07,59405,527,84.4,797,47345785,56107206,70398,2007,10
14020,brisbane,melbourne,Oct-07,253047,1779,90.4,1381,349457907,386677238,279998,2007,10
14021,brisbane,newcastle,Oct-07,46718,392,87.3,614,28684852,32847772,53498,2007,10
14022,brisbane,perth,Oct-07,58247,307,94.3,3615,210562905,223349160,61784,2007,10
14023,brisbane,proserpine,Oct-07,20280,124,92.8,895,18150600,19566490,21862,2007,10
14024,brisbane,rockhampton,Oct-07,52974,720,79.4,518,27440532,34579090,66755,2007,10
14025,brisbane,sydney,Oct-07,376827,2564,81.8,753,283750731,347007249,460833,2007,10
14026,brisbane,townsville,Oct-07,80093,645,82.6,1112,89063416,107868448,97004,2007,10
14027,broome,perth,Oct-07,27631,260,78.5,1677,46337187,59042139,35207,2007,10
14028,cairns,melbourne,Oct-07,43283,256,90.7,2311,100027013,110237011,47701,2007,10
14029,cairns,sydney,Oct-07,85988,523,89.0,1971,169482348,190372977,96587,2007,10
14030,cairns,townsville,Oct-07,12785,456,66.7,284,3630940,5444280,19170,2007,10
14031,canberra,melbourne,Oct-07,83655,997,72.7,470,39317850,54068330,115039,2007,10
14032,canberra,sydney,Oct-07,72815,1365,70.4,236,17184340,24418920,103470,2007,10
14033,coffs harbour,sydney,Oct-07,28258,429,81.0,443,12518294,15453612,34884,2007,10
14034,darwin,melbourne,Oct-07,12839,125,80.7,3131,40198909,49832996,15916,2007,10
14035,darwin,sydney,Oct-07,0,0,0.0,3155,0,0,0,2007,10
14036,devonport,melbourne,Oct-07,0,0,0.0,412,0,0,0,2007,10
14037,dubbo,sydney,Oct-07,17157,633,75.4,310,5318670,7049400,22740,2007,10
14038,gold coast,sydney,Oct-07,200530,1403,86.6,680,136360400,157547840,231688,2007,10
14039,hervey bay,sydney,Oct-07,13518,98,86.3,973,13153014,15237180,15660,2007,10
14040,hobart,melbourne,Oct-07,85168,654,81.6,618,52633824,64538976,104432,2007,10
14041,hobart,sydney,Oct-07,39017,284,82.9,1039,40538663,48902613,47067,2007,10
14042,kalgoorlie,perth,Oct-07,20274,234,76.0,538,10907412,14342542,26659,2007,10
14043,karratha,perth,Oct-07,0,0,0.0,1250,0,0,0,2007,10
14044,launceston,melbourne,Oct-07,63218,628,80.9,476,30091768,37213680,78180,2007,10
14045,launceston,sydney,Oct-07,17781,124,82.1,914,16251834,19789928,21652,2007,10
14046,melbourne,burnie,Oct-07,0,0,0.0,378,0,0,0,2007,10
14047,melbourne,gold coast,Oct-07,121553,765,91.9,1330,161665490,175841960,132212,2007,10
14048,melbourne,mildura,Oct-07,13938,508,74.7,457,6369666,8524878,18654,2007,10
14049,melbourne,newcastle,Oct-07,31923,344,86.3,836,26687628,30918624,36984,2007,10
14050,melbourne,perth,Oct-07,149290,806,86.9,2706,403978740,464709498,171733,2007,10
14051,melbourne,sydney,Oct-07,604603,3887,80.8,706,426849718,528012458,747893,2007,10
14052,perth,port hedland,Oct-07,0,0,0.0,1312,0,0,0,2007,10
14053,perth,sydney,Oct-07,127350,518,92.1,3284,418217400,453927616,138224,2007,10
14054,sunshine coast,melbourne,Oct-07,39224,246,93.7,1454,57031696,60868802,41863,2007,10
14055,sunshine coast,sydney,Oct-07,42360,262,91.6,837,35455320,38712924,46252,2007,10
14056,sydney,townsville,Oct-07,15131,106,84.5,1690,25571390,30261140,17906,2007,10
14057,sydney,wagga wagga,Oct-07,16914,553,76.5,367,6207438,8113636,22108,2007,10
14058,adelaide,alice springs,Nov-07,0,0,0.0,1316,0,0,0,2007,11
14059,adelaide,brisbane,Nov-07,55064,409,82.0,1622,89313808,108983802,67191,2007,11
14060,adelaide,canberra,Nov-07,18138,160,75.5,972,17630136,23341608,24014,2007,11
14061,adelaide,gold coast,Nov-07,17001,120,86.1,1607,27320607,31738250,19750,2007,11
14062,adelaide,melbourne,Nov-07,162174,1309,78.4,643,104277882,132956968,206776,2007,11
14063,adelaide,perth,Nov-07,50762,381,79.2,2120,107615440,135824160,64068,2007,11
14064,adelaide,port lincoln,Nov-07,0,0,0.0,246,0,0,0,2007,11
14065,adelaide,sydney,Nov-07,130641,1006,80.9,1167,152458047,188445993,161479,2007,11
14066,albury,sydney,Nov-07,14187,464,73.9,452,6412524,8681112,19206,2007,11
14067,alice springs,sydney,Nov-07,0,0,0.0,2022,0,0,0,2007,11
14068,ballina,sydney,Nov-07,23886,324,87.0,612,14618232,16794504,27442,2007,11
14069,brisbane,cairns,Nov-07,97392,784,77.4,1391,135472272,174993364,125804,2007,11
14070,brisbane,canberra,Nov-07,52513,570,68.0,956,50202428,73798420,77195,2007,11
14071,brisbane,darwin,Nov-07,24502,172,71.2,2852,69879704,98128764,34407,2007,11
14072,brisbane,hamilton island,Nov-07,16256,120,81.2,888,14435328,17786640,20030,2007,11
14073,brisbane,hobart,Nov-07,13887,128,81.0,1791,24871617,30712068,17148,2007,11
14074,brisbane,mackay,Nov-07,55837,539,80.4,797,44502089,55355635,69455,2007,11
14075,brisbane,melbourne,Nov-07,237487,1719,86.1,1381,327969547,381084188,275948,2007,11
14076,brisbane,newcastle,Nov-07,44182,388,83.8,614,27127748,32379904,52736,2007,11
14077,brisbane,perth,Nov-07,53765,300,87.9,3615,194360475,221107860,61164,2007,11
14078,brisbane,proserpine,Nov-07,18627,120,90.2,895,16671165,18490700,20660,2007,11
14079,brisbane,rockhampton,Nov-07,49931,686,79.9,518,25864258,32370338,62491,2007,11
14080,brisbane,sydney,Nov-07,350082,2529,80.7,753,263611746,326648388,433796,2007,11
14081,brisbane,townsville,Nov-07,73463,624,79.2,1112,81690856,103170248,92779,2007,11
14082,broome,perth,Nov-07,21712,220,79.2,1677,36411024,45949800,27400,2007,11
14083,cairns,melbourne,Nov-07,37249,243,84.8,2311,86082439,101524541,43931,2007,11
14084,cairns,sydney,Nov-07,75958,504,83.2,1971,149713218,180019314,91334,2007,11
14085,cairns,townsville,Nov-07,12554,436,67.8,284,3565336,5261384,18526,2007,11
14086,canberra,melbourne,Nov-07,86048,944,77.3,470,40442560,52336850,111355,2007,11
14087,canberra,sydney,Nov-07,75681,1397,73.0,236,17860716,24476504,103714,2007,11
14088,coffs harbour,sydney,Nov-07,26797,404,82.8,443,11871071,14331050,32350,2007,11
14089,darwin,melbourne,Nov-07,11307,119,75.8,3131,35402217,46714520,14920,2007,11
14090,darwin,sydney,Nov-07,0,0,0.0,3155,0,0,0,2007,11
14091,devonport,melbourne,Nov-07,0,0,0.0,412,0,0,0,2007,11
14092,dubbo,sydney,Nov-07,16703,619,75.2,310,5177930,6884170,22207,2007,11
14093,gold coast,sydney,Nov-07,187600,1343,84.1,680,127568000,151651560,223017,2007,11
14094,hervey bay,sydney,Nov-07,12751,94,84.5,973,12406723,14682570,15090,2007,11
14095,hobart,melbourne,Nov-07,89518,643,85.1,618,55322124,65016690,105205,2007,11
14096,hobart,sydney,Nov-07,37368,274,82.8,1039,38825352,46901499,45141,2007,11
14097,kalgoorlie,perth,Nov-07,20978,243,76.3,538,11286164,14794462,27499,2007,11
14098,karratha,perth,Nov-07,0,0,0.0,1250,0,0,0,2007,11
14099,launceston,melbourne,Nov-07,69036,626,86.3,476,32861136,38076192,79992,2007,11
14100,launceston,sydney,Nov-07,18080,128,80.8,914,16525120,20448008,22372,2007,11
14101,melbourne,burnie,Nov-07,0,0,0.0,378,0,0,0,2007,11
14102,melbourne,gold coast,Nov-07,118684,792,85.7,1330,157849720,184117220,138434,2007,11
14103,melbourne,mildura,Nov-07,13159,491,72.5,457,6013663,8300034,18162,2007,11
14104,melbourne,newcastle,Nov-07,32440,334,89.1,836,27119840,30438760,36410,2007,11
14105,melbourne,perth,Nov-07,140880,812,81.9,2706,381221280,465429294,171999,2007,11
14106,melbourne,sydney,Nov-07,617589,3903,83.5,706,436017834,522067232,739472,2007,11
14107,perth,port hedland,Nov-07,0,0,0.0,1312,0,0,0,2007,11
14108,perth,sydney,Nov-07,117502,496,88.9,3284,385876568,434118528,132192,2007,11
14109,sunshine coast,melbourne,Nov-07,35947,243,86.7,1454,52266938,60258122,41443,2007,11
14110,sunshine coast,sydney,Nov-07,38466,254,87.3,837,32196042,36879057,44061,2007,11
14111,sydney,townsville,Nov-07,12680,104,74.3,1690,21429200,28828020,17058,2007,11
14112,sydney,wagga wagga,Nov-07,16001,476,82.1,367,5872367,7156133,19499,2007,11
14113,adelaide,alice springs,Dec-07,0,0,0.0,1316,0,0,0,2007,12
14114,adelaide,brisbane,Dec-07,59230,468,81.3,1622,96071060,118131882,72831,2007,12
14115,adelaide,canberra,Dec-07,16194,146,77.7,972,15740568,20248704,20832,2007,12
14116,adelaide,gold coast,Dec-07,15614,121,79.0,1607,25091698,31751106,19758,2007,12
14117,adelaide,melbourne,Dec-07,152572,1295,74.9,643,98103796,131067191,203837,2007,12
14118,adelaide,perth,Dec-07,52324,386,80.1,2120,110926880,138455080,65309,2007,12
14119,adelaide,port lincoln,Dec-07,0,0,0.0,246,0,0,0,2007,12
14120,adelaide,sydney,Dec-07,137726,1124,77.3,1167,160726242,207943062,178186,2007,12
14121,albury,sydney,Dec-07,12912,429,72.6,452,5836224,8041984,17792,2007,12
14122,alice springs,sydney,Dec-07,0,0,0.0,2022,0,0,0,2007,12
14123,ballina,sydney,Dec-07,26082,367,81.8,612,15962184,19522188,31899,2007,12
14124,brisbane,cairns,Dec-07,98356,804,75.6,1391,136813196,180863384,130024,2007,12
14125,brisbane,canberra,Dec-07,52525,560,69.7,956,50213900,72092916,75411,2007,12
14126,brisbane,darwin,Dec-07,26418,180,73.1,2852,75344136,103131172,36161,2007,12
14127,brisbane,hamilton island,Dec-07,15264,124,73.8,888,13554432,18376272,20694,2007,12
14128,brisbane,hobart,Dec-07,15314,149,81.8,1791,27427374,33529311,18721,2007,12
14129,brisbane,mackay,Dec-07,55356,560,77.1,797,44118732,57222209,71797,2007,12
14130,brisbane,melbourne,Dec-07,235544,1773,83.0,1381,325286264,391904323,283783,2007,12
14131,brisbane,newcastle,Dec-07,41683,377,79.4,614,25593362,32228246,52489,2007,12
14132,brisbane,perth,Dec-07,56696,325,87.3,3615,204956040,234736410,64934,2007,12
14133,brisbane,proserpine,Dec-07,17952,124,84.1,895,16067040,19101090,21342,2007,12
14134,brisbane,rockhampton,Dec-07,46595,669,72.6,518,24136210,33238506,64167,2007,12
14135,brisbane,sydney,Dec-07,373363,2728,77.9,753,281142339,360894828,479276,2007,12
14136,brisbane,townsville,Dec-07,78551,651,82.3,1112,87348712,106120384,95432,2007,12
14137,broome,perth,Dec-07,19508,217,69.7,1677,32714916,46969416,28008,2007,12
14138,cairns,melbourne,Dec-07,33397,238,79.3,2311,77180467,97269990,42090,2007,12
14139,cairns,sydney,Dec-07,72846,539,76.6,1971,143579466,187463781,95111,2007,12
14140,cairns,townsville,Dec-07,10945,379,66.0,284,3108380,4707868,16577,2007,12
14141,canberra,melbourne,Dec-07,76784,877,75.3,470,36088480,47902400,101920,2007,12
14142,canberra,sydney,Dec-07,58039,1103,69.5,236,13697204,19700336,83476,2007,12
14143,coffs harbour,sydney,Dec-07,27819,425,81.3,443,12323817,15162561,34227,2007,12
14144,darwin,melbourne,Dec-07,21366,177,79.1,3131,66896946,84527607,26997,2007,12
14145,darwin,sydney,Dec-07,0,0,0.0,3155,0,0,0,2007,12
14146,devonport,melbourne,Dec-07,0,0,0.0,412,0,0,0,2007,12
14147,dubbo,sydney,Dec-07,14853,548,75.1,310,4604430,6129320,19772,2007,12
14148,gold coast,sydney,Dec-07,183523,1367,80.8,680,124795640,154366120,227009,2007,12
14149,hervey bay,sydney,Dec-07,12914,97,82.1,973,12565322,15307236,15732,2007,12
14150,hobart,melbourne,Dec-07,91165,695,83.0,618,56339970,67902750,109875,2007,12
14151,hobart,sydney,Dec-07,39836,290,82.8,1039,41389604,49977978,48102,2007,12
14152,kalgoorlie,perth,Dec-07,18730,237,69.3,538,10076740,14541064,27028,2007,12
14153,karratha,perth,Dec-07,0,0,0.0,1250,0,0,0,2007,12
14154,launceston,melbourne,Dec-07,78103,725,82.1,476,37177028,45262840,95090,2007,12
14155,launceston,sydney,Dec-07,20663,152,78.3,914,18885982,24114062,26383,2007,12
14156,melbourne,burnie,Dec-07,0,0,0.0,378,0,0,0,2007,12
14157,melbourne,gold coast,Dec-07,142230,977,83.3,1330,189165900,227136070,170779,2007,12
14158,melbourne,mildura,Dec-07,12699,469,74.2,457,5803443,7821555,17115,2007,12
14159,melbourne,newcastle,Dec-07,30276,316,82.8,836,25310736,30570848,36568,2007,12
14160,melbourne,perth,Dec-07,161274,904,84.8,2706,436407444,514537782,190147,2007,12
14161,melbourne,sydney,Dec-07,578190,3773,80.6,706,408202140,506329080,717180,2007,12
14162,perth,port hedland,Dec-07,0,0,0.0,1312,0,0,0,2007,12
14163,perth,sydney,Dec-07,126392,522,90.2,3284,415071328,460009584,140076,2007,12
14164,sunshine coast,melbourne,Dec-07,37981,271,80.7,1454,55224374,68400522,47043,2007,12
14165,sunshine coast,sydney,Dec-07,40761,290,81.5,837,34116957,41868414,50022,2007,12
14166,sydney,townsville,Dec-07,14091,106,80.5,1690,23813790,29588520,17508,2007,12
14167,sydney,wagga wagga,Dec-07,14166,439,78.2,367,5198922,6644168,18104,2007,12
14168,adelaide,alice springs,Jan-08,0,0,0.0,1316,0,0,0,2008,1
14169,adelaide,brisbane,Jan-08,61984,479,84.6,1622,100538048,118779060,73230,2008,1
14170,adelaide,canberra,Jan-08,14847,132,79.7,972,14431284,18108360,18630,2008,1
14171,adelaide,gold coast,Jan-08,17472,122,88.1,1607,28077504,31876452,19836,2008,1
14172,adelaide,melbourne,Jan-08,162113,1355,75.6,643,104238659,137842482,214374,2008,1
14173,adelaide,perth,Jan-08,53876,394,81.6,2120,114217120,140053560,66063,2008,1
14174,adelaide,port lincoln,Jan-08,0,0,0.0,246,0,0,0,2008,1
14175,adelaide,sydney,Jan-08,137800,1147,78.9,1167,160812600,203894739,174717,2008,1
14176,albury,sydney,Jan-08,12706,421,77.6,452,5743112,7401952,16376,2008,1
14177,alice springs,sydney,Jan-08,0,0,0.0,2022,0,0,0,2008,1
14178,ballina,sydney,Jan-08,25045,358,81.8,612,15327540,18745560,30630,2008,1
14179,brisbane,cairns,Jan-08,92277,798,72.0,1391,128357307,178221875,128125,2008,1
14180,brisbane,canberra,Jan-08,47815,545,66.6,956,45711140,68639844,71799,2008,1
14181,brisbane,darwin,Jan-08,26256,176,74.4,2852,74882112,100672748,35299,2008,1
14182,brisbane,hamilton island,Jan-08,15221,120,77.9,888,13516248,17358624,19548,2008,1
14183,brisbane,hobart,Jan-08,16521,152,87.0,1791,29589111,34021836,18996,2008,1
14184,brisbane,mackay,Jan-08,55076,559,74.8,797,43895572,58714193,73669,2008,1
14185,brisbane,melbourne,Jan-08,243754,1779,84.1,1381,336624274,400128178,289738,2008,1
14186,brisbane,newcastle,Jan-08,42218,378,78.8,614,25921852,32885840,53560,2008,1
14187,brisbane,perth,Jan-08,58838,330,86.2,3615,212699370,246871965,68291,2008,1
14188,brisbane,proserpine,Jan-08,17279,118,84.4,895,15464705,18333180,20484,2008,1
14189,brisbane,rockhampton,Jan-08,41885,630,68.6,518,21696430,31619756,61042,2008,1
14190,brisbane,sydney,Jan-08,350491,2763,76.2,753,263919723,346208316,459772,2008,1
14191,brisbane,townsville,Jan-08,70580,637,75.0,1112,78484960,104600280,94065,2008,1
14192,broome,perth,Jan-08,18350,217,66.9,1677,30772950,45995079,27427,2008,1
14193,cairns,melbourne,Jan-08,37129,257,79.9,2311,85805119,107417591,46481,2008,1
14194,cairns,sydney,Jan-08,73272,528,77.6,1971,144419112,186170805,94455,2008,1
14195,cairns,townsville,Jan-08,10814,372,65.9,284,3071176,4660440,16410,2008,1
14196,canberra,melbourne,Jan-08,69194,818,73.1,470,32521180,44487380,94654,2008,1
14197,canberra,sydney,Jan-08,47073,996,63.7,236,11109228,17429544,73854,2008,1
14198,coffs harbour,sydney,Jan-08,26749,388,81.5,443,11849807,14533058,32806,2008,1
14199,darwin,melbourne,Jan-08,20831,183,77.7,3131,65221861,83954634,26814,2008,1
14200,darwin,sydney,Jan-08,0,0,0.0,3155,0,0,0,2008,1
14201,devonport,melbourne,Jan-08,0,0,0.0,412,0,0,0,2008,1
14202,dubbo,sydney,Jan-08,12536,492,76.1,310,3886160,5103840,16464,2008,1
14203,gold coast,sydney,Jan-08,197138,1416,84.3,680,134053840,159064240,233918,2008,1
14204,hervey bay,sydney,Jan-08,14342,96,86.0,973,13954766,16223802,16674,2008,1
14205,hobart,melbourne,Jan-08,104615,755,87.5,618,64652070,73857180,119510,2008,1
14206,hobart,sydney,Jan-08,42299,286,87.9,1039,43948661,49987329,48111,2008,1
14207,kalgoorlie,perth,Jan-08,18590,246,65.3,538,10001420,15313632,28464,2008,1
14208,karratha,perth,Jan-08,0,0,0.0,1250,0,0,0,2008,1
14209,launceston,melbourne,Jan-08,81407,732,84.3,476,38749732,45984456,96606,2008,1
14210,launceston,sydney,Jan-08,21216,145,84.9,914,19391424,22838118,24987,2008,1
14211,melbourne,burnie,Jan-08,0,0,0.0,378,0,0,0,2008,1
14212,melbourne,gold coast,Jan-08,156844,1071,83.5,1330,208602520,249944240,187928,2008,1
14213,melbourne,mildura,Jan-08,11305,433,74.3,457,5166385,6953712,15216,2008,1
14214,melbourne,newcastle,Jan-08,36036,348,78.6,836,30126096,38328092,45847,2008,1
14215,melbourne,perth,Jan-08,163237,923,85.7,2706,441719322,515468646,190491,2008,1
14216,melbourne,sydney,Jan-08,565706,3625,81.8,706,399388436,488487048,691908,2008,1
14217,perth,port hedland,Jan-08,0,0,0.0,1312,0,0,0,2008,1
14218,perth,sydney,Jan-08,124453,540,91.0,3284,408703652,449323448,136822,2008,1
14219,port macquarie,sydney,Jan-08,0,0,0.0,0,0,0,0,2008,1
14220,sunshine coast,melbourne,Jan-08,41872,272,86.6,1454,60881888,70332888,48372,2008,1
14221,sunshine coast,sydney,Jan-08,41638,279,85.3,837,34851006,40848948,48804,2008,1
14222,sydney,townsville,Jan-08,13792,105,78.3,1690,23308480,29776110,17619,2008,1
14223,sydney,wagga wagga,Jan-08,12146,417,77.6,367,4457582,5743917,15651,2008,1
14224,adelaide,alice springs,Feb-08,0,0,0.0,1316,0,0,0,2008,2
14225,adelaide,brisbane,Feb-08,50310,396,79.2,1622,81602820,103042416,63528,2008,2
14226,adelaide,canberra,Feb-08,16792,156,72.2,972,16321824,22606776,23258,2008,2
14227,adelaide,gold coast,Feb-08,15959,111,84.1,1607,25646113,30507288,18984,2008,2
14228,adelaide,melbourne,Feb-08,165903,1413,74.7,643,106675629,142846308,222156,2008,2
14229,adelaide,perth,Feb-08,47196,366,77.4,2120,100055520,129194920,60941,2008,2
14230,adelaide,port lincoln,Feb-08,0,0,0.0,246,0,0,0,2008,2
14231,adelaide,sydney,Feb-08,126681,1040,82.1,1167,147836727,179959569,154207,2008,2
14232,albury,sydney,Feb-08,16591,547,63.9,452,7499132,11728496,25948,2008,2
14233,alice springs,sydney,Feb-08,0,0,0.0,2022,0,0,0,2008,2
14234,ballina,sydney,Feb-08,22538,307,81.6,612,13793256,16907724,27627,2008,2
14235,brisbane,cairns,Feb-08,84647,646,78.9,1391,117743977,149188923,107253,2008,2
14236,brisbane,canberra,Feb-08,42804,467,62.6,956,40920624,65384664,68394,2008,2
14237,brisbane,darwin,Feb-08,20238,158,63.7,2852,57718776,90551000,31750,2008,2
14238,brisbane,hamilton island,Feb-08,12663,116,67.8,888,11244744,16596720,18690,2008,2
14239,brisbane,hobart,Feb-08,12013,88,81.2,1791,21515283,26501427,14797,2008,2
14240,brisbane,mackay,Feb-08,48135,464,76.9,797,38363595,49897779,62607,2008,2
14241,brisbane,melbourne,Feb-08,197329,1633,74.9,1381,272511349,363847927,263467,2008,2
14242,brisbane,newcastle,Feb-08,36612,271,80.5,614,22479768,27932088,45492,2008,2
14243,brisbane,perth,Feb-08,48272,294,77.0,3615,174503280,226501440,62656,2008,2
14244,brisbane,proserpine,Feb-08,12857,101,76.5,895,11507015,15044055,16809,2008,2
14245,brisbane,rockhampton,Feb-08,39946,501,79.1,518,20692028,26150194,50483,2008,2
14246,brisbane,sydney,Feb-08,333460,2623,74.8,753,251095380,335841012,446004,2008,2
14247,brisbane,townsville,Feb-08,66207,605,74.2,1112,73622184,99257120,89260,2008,2
14248,broome,perth,Feb-08,15490,193,63.6,1677,25976730,40866813,24369,2008,2
14249,cairns,melbourne,Feb-08,28639,238,70.0,2311,66184729,94570742,40922,2008,2
14250,cairns,sydney,Feb-08,68411,539,71.0,1971,134838081,189846720,96320,2008,2
14251,cairns,townsville,Feb-08,11502,404,65.5,284,3266568,4983348,17547,2008,2
14252,canberra,melbourne,Feb-08,85105,944,74.3,470,39999350,53864820,114606,2008,2
14253,canberra,sydney,Feb-08,76801,1574,60.3,236,18125036,30079144,127454,2008,2
14254,coffs harbour,sydney,Feb-08,24806,336,82.4,443,10989058,13344046,30122,2008,2
14255,darwin,melbourne,Feb-08,16859,172,67.4,3131,52785529,78356406,25026,2008,2
14256,darwin,sydney,Feb-08,0,0,0.0,3155,0,0,0,2008,2
14257,devonport,melbourne,Feb-08,0,0,0.0,412,0,0,0,2008,2
14258,dubbo,sydney,Feb-08,14240,523,75.9,310,4414400,5817150,18765,2008,2
14259,gold coast,sydney,Feb-08,183049,1336,85.0,680,124473320,146457040,215378,2008,2
14260,hervey bay,sydney,Feb-08,12023,92,73.4,973,11698379,15943578,16386,2008,2
14261,hobart,melbourne,Feb-08,96095,689,85.0,618,59386710,69843888,113016,2008,2
14262,hobart,sydney,Feb-08,39333,264,87.6,1039,40866987,46642788,44892,2008,2
14263,kalgoorlie,perth,Feb-08,19525,240,68.9,538,10504450,15238312,28324,2008,2
14264,karratha,perth,Feb-08,0,0,0.0,1250,0,0,0,2008,2
14265,launceston,melbourne,Feb-08,75441,666,84.5,476,35909916,42496804,89279,2008,2
14266,launceston,sydney,Feb-08,18169,121,87.3,914,16606466,19032222,20823,2008,2
14267,melbourne,burnie,Feb-08,0,0,0.0,378,0,0,0,2008,2
14268,melbourne,gold coast,Feb-08,138193,1004,79.6,1330,183796690,230898640,173608,2008,2
14269,melbourne,mildura,Feb-08,12354,426,77.6,457,5645778,7273612,15916,2008,2
14270,melbourne,newcastle,Feb-08,36047,318,74.7,836,30135292,40339508,48253,2008,2
14271,melbourne,perth,Feb-08,139002,856,79.2,2706,376139412,475059948,175558,2008,2
14272,melbourne,sydney,Feb-08,588595,3736,82.7,706,415548070,502611990,711915,2008,2
14273,perth,port hedland,Feb-08,0,0,0.0,1312,0,0,0,2008,2
14274,perth,sydney,Feb-08,112552,479,87.1,3284,369620768,424292800,129200,2008,2
14275,port macquarie,sydney,Feb-08,12240,284,81.6,321,3929040,4813074,14994,2008,2
14276,sunshine coast,melbourne,Feb-08,32138,242,77.8,1454,46728652,60034206,41289,2008,2
14277,sunshine coast,sydney,Feb-08,34186,240,81.3,837,28613682,35191665,42045,2008,2
14278,sydney,townsville,Feb-08,11010,101,64.5,1690,18606900,28868580,17082,2008,2
14279,sydney,wagga wagga,Feb-08,14564,472,76.4,367,5344988,6997956,19068,2008,2
14280,adelaide,alice springs,Mar-08,0,0,0.0,1316,0,0,0,2008,3
14281,adelaide,brisbane,Mar-08,56135,421,83.9,1622,91050970,108549106,66923,2008,3
14282,adelaide,canberra,Mar-08,19050,163,77.2,972,18516600,23980212,24671,2008,3
14283,adelaide,gold coast,Mar-08,18017,124,83.2,1607,28953319,34797978,21654,2008,3
14284,adelaide,melbourne,Mar-08,185075,1503,77.2,643,119003225,154092378,239646,2008,3
14285,adelaide,perth,Mar-08,50740,386,80.3,2120,107568800,134024280,63219,2008,3
14286,adelaide,port lincoln,Mar-08,0,0,0.0,246,0,0,0,2008,3
14287,adelaide,sydney,Mar-08,142541,1136,81.5,1167,166345347,204021942,174826,2008,3
14288,albury,sydney,Mar-08,18448,584,64.5,452,8338496,12922228,28589,2008,3
14289,alice springs,sydney,Mar-08,0,0,0.0,2022,0,0,0,2008,3
