Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures(%)","OnTime Arrivals(%)","Cancellations(%)"
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,Mar-20, 107, 68, 39, 50, 55, 18, 13,73.5,80.9,36.4
Adelaide-Perth,Adelaide,Perth,Jetstar,Mar-20, 23, 17, 6, 16, 17, 1, 0,94.1,100.0,26.1
Adelaide-Sydney,Adelaide,Sydney,Jetstar,Mar-20, 114, 82, 32, 66, 69, 16, 13,80.5,84.1,28.1
Ayers Rock-Sydney,Ayers Rock,Sydney,Jetstar,Mar-20, 28, 22, 6, 14, 17, 8, 5,63.6,77.3,21.4
Ballina-Sydney,Ballina,Sydney,Jetstar,Mar-20, 79, 61, 18, 48, 51, 13, 10,78.7,83.6,22.8
Brisbane-Adelaide,Brisbane,Adelaide,Jetstar,Mar-20, 22, 17, 5, 16, 17, 1, 0,94.1,100.0,22.7
Brisbane-Cairns,Brisbane,Cairns,Jetstar,Mar-20, 74, 59, 15, 48, 48, 11, 11,81.4,81.4,20.3
Brisbane-Darwin,Brisbane,Darwin,Jetstar,Mar-20, 13, 10, 3, 10, 10, 0, 0,100.0,100.0,23.1
Brisbane-Hobart,Brisbane,Hobart,Jetstar,Mar-20, 29, 23, 6, 22, 21, 1, 2,95.7,91.3,20.7
Brisbane-Mackay,Brisbane,Mackay,Jetstar,Mar-20, 30, 27, 3, 26, 24, 1, 3,96.3,88.9,10.0
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,Mar-20, 119, 85, 34, 62, 66, 23, 19,72.9,77.6,28.6
Brisbane-Newcastle,Brisbane,Newcastle,Jetstar,Mar-20, 68, 50, 18, 37, 38, 13, 12,74.0,76.0,26.5
Brisbane-Proserpine,Brisbane,Proserpine,Jetstar,Mar-20, 30, 25, 5, 24, 24, 1, 1,96.0,96.0,16.7
Brisbane-Sydney,Brisbane,Sydney,Jetstar,Mar-20, 136, 93, 43, 78, 76, 15, 17,83.9,81.7,31.6
Brisbane-Townsville,Brisbane,Townsville,Jetstar,Mar-20, 42, 35, 7, 31, 29, 4, 6,88.6,82.9,16.7
Cairns-Brisbane,Cairns,Brisbane,Jetstar,Mar-20, 76, 61, 15, 53, 55, 8, 6,86.9,90.2,19.7
Cairns-Melbourne,Cairns,Melbourne,Jetstar,Mar-20, 60, 48, 12, 39, 42, 9, 6,81.3,87.5,20.0
Cairns-Sydney,Cairns,Sydney,Jetstar,Mar-20, 71, 53, 18, 46, 50, 7, 3,86.8,94.3,25.4
Darwin-Brisbane,Darwin,Brisbane,Jetstar,Mar-20, 13, 10, 3, 8, 9, 2, 1,80.0,90.0,23.1
Darwin-Melbourne,Darwin,Melbourne,Jetstar,Mar-20, 16, 12, 4, 7, 8, 5, 4,58.3,66.7,25.0
Darwin-Sydney,Darwin,Sydney,Jetstar,Mar-20, 19, 15, 4, 12, 10, 3, 5,80.0,66.7,21.1
Gold Coast-Adelaide,Gold Coast,Adelaide,Jetstar,Mar-20, 24, 21, 3, 17, 18, 4, 3,81.0,85.7,12.5
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,Mar-20, 132, 101, 31, 71, 79, 30, 22,70.3,78.2,23.5
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,Mar-20, 252, 177, 75, 136, 143, 41, 34,76.8,80.8,29.8
Hamilton Island-Sydney,Hamilton Island,Sydney,Jetstar,Mar-20, 18, 14, 4, 12, 13, 2, 1,85.7,92.9,22.2
Hobart-Brisbane,Hobart,Brisbane,Jetstar,Mar-20, 29, 23, 6, 21, 20, 2, 3,91.3,87.0,20.7
Hobart-Melbourne,Hobart,Melbourne,Jetstar,Mar-20, 193, 136, 57, 85, 92, 51, 44,62.5,67.6,29.5
Hobart-Sydney,Hobart,Sydney,Jetstar,Mar-20, 101, 74, 27, 63, 48, 11, 26,85.1,64.9,26.7
Launceston-Melbourne,Launceston,Melbourne,Jetstar,Mar-20, 129, 91, 38, 68, 64, 23, 27,74.7,70.3,29.5
Launceston-Sydney,Launceston,Sydney,Jetstar,Mar-20, 58, 41, 17, 26, 30, 15, 11,63.4,73.2,29.3
Mackay-Brisbane,Mackay,Brisbane,Jetstar,Mar-20, 31, 28, 3, 20, 21, 8, 7,71.4,75.0,9.7
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,Mar-20, 110, 69, 41, 47, 50, 22, 19,68.1,72.5,37.3
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,Mar-20, 117, 87, 30, 65, 70, 22, 17,74.7,80.5,25.6
Melbourne-Cairns,Melbourne,Cairns,Jetstar,Mar-20, 54, 48, 6, 44, 42, 4, 6,91.7,87.5,11.1
Melbourne-Darwin,Melbourne,Darwin,Jetstar,Mar-20, 16, 12, 4, 8, 8, 4, 4,66.7,66.7,25.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Jetstar,Mar-20, 133, 101, 32, 78, 79, 23, 22,77.2,78.2,24.1
Melbourne-Hobart,Melbourne,Hobart,Jetstar,Mar-20, 193, 136, 57, 103, 98, 33, 38,75.7,72.1,29.5
Melbourne-Launceston,Melbourne,Launceston,Jetstar,Mar-20, 128, 90, 38, 68, 68, 22, 22,75.6,75.6,29.7
Melbourne-Newcastle,Melbourne,Newcastle,Jetstar,Mar-20, 93, 67, 26, 54, 54, 13, 13,80.6,80.6,28.0
Melbourne-Perth,Melbourne,Perth,Jetstar,Mar-20, 54, 42, 12, 38, 40, 4, 2,90.5,95.2,22.2
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Jetstar,Mar-20, 60, 48, 12, 38, 40, 10, 8,79.2,83.3,20.0
Melbourne-Sydney,Melbourne,Sydney,Jetstar,Mar-20, 425, 279, 146, 216, 211, 63, 68,77.4,75.6,34.4
Newcastle-Brisbane,Newcastle,Brisbane,Jetstar,Mar-20, 68, 49, 19, 40, 36, 9, 13,81.6,73.5,27.9
Newcastle-Melbourne,Newcastle,Melbourne,Jetstar,Mar-20, 93, 66, 27, 53, 54, 13, 12,80.3,81.8,29.0
Perth-Adelaide,Perth,Adelaide,Jetstar,Mar-20, 23, 17, 6, 15, 15, 2, 2,88.2,88.2,26.1
Perth-Melbourne,Perth,Melbourne,Jetstar,Mar-20, 49, 40, 9, 36, 36, 4, 4,90.0,90.0,18.4
Perth-Sydney,Perth,Sydney,Jetstar,Mar-20, 27, 23, 4, 19, 22, 4, 1,82.6,95.7,14.8
Proserpine-Brisbane,Proserpine,Brisbane,Jetstar,Mar-20, 30, 25, 5, 20, 20, 5, 5,80.0,80.0,16.7
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Jetstar,Mar-20, 61, 48, 13, 31, 36, 17, 12,64.6,75.0,21.3
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Jetstar,Mar-20, 66, 52, 14, 31, 33, 21, 19,59.6,63.5,21.2
Sydney-Adelaide,Sydney,Adelaide,Jetstar,Mar-20, 115, 80, 35, 64, 64, 16, 16,80.0,80.0,30.4
Sydney-Ayers Rock,Sydney,Ayers Rock,Jetstar,Mar-20, 26, 21, 5, 18, 17, 3, 4,85.7,81.0,19.2
Sydney-Ballina,Sydney,Ballina,Jetstar,Mar-20, 78, 60, 18, 53, 52, 7, 8,88.3,86.7,23.1
Sydney-Brisbane,Sydney,Brisbane,Jetstar,Mar-20, 135, 93, 42, 67, 71, 26, 22,72.0,76.3,31.1
Sydney-Cairns,Sydney,Cairns,Jetstar,Mar-20, 72, 54, 18, 43, 50, 11, 4,79.6,92.6,25.0
Sydney-Darwin,Sydney,Darwin,Jetstar,Mar-20, 19, 15, 4, 11, 12, 4, 3,73.3,80.0,21.1
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,Mar-20, 249, 177, 72, 158, 154, 19, 23,89.3,87.0,28.9
Sydney-Hamilton Island,Sydney,Hamilton Island,Jetstar,Mar-20, 18, 12, 6, 10, 12, 2, 0,83.3,100.0,33.3
Sydney-Hobart,Sydney,Hobart,Jetstar,Mar-20, 100, 73, 27, 62, 67, 11, 6,84.9,91.8,27.0
Sydney-Launceston,Sydney,Launceston,Jetstar,Mar-20, 57, 41, 16, 38, 39, 3, 2,92.7,95.1,28.1
Sydney-Melbourne,Sydney,Melbourne,Jetstar,Mar-20, 425, 279, 146, 216, 217, 63, 62,77.4,77.8,34.4
Sydney-Perth,Sydney,Perth,Jetstar,Mar-20, 27, 23, 4, 17, 23, 6, 0,73.9,100.0,14.8
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Jetstar,Mar-20, 65, 51, 14, 39, 38, 12, 13,76.5,74.5,21.5
Sydney-Townsville,Sydney,Townsville,Jetstar,Mar-20, 18, 16, 2, 14, 14, 2, 2,87.5,87.5,11.1
Townsville-Brisbane,Townsville,Brisbane,Jetstar,Mar-20, 42, 35, 7, 27, 31, 8, 4,77.1,88.6,16.7
Townsville-Sydney,Townsville,Sydney,Jetstar,Mar-20, 18, 16, 2, 12, 15, 4, 1,75.0,93.8,11.1
All Ports-All Ports,All Ports,All Ports,Jetstar,Mar-20,6 451,4 722,1 729,3 705,3 804,1 017, 918,78.5,80.6,26.8
Adelaide-Alice Springs,Adelaide,Alice Springs,Qantas,Mar-20, 31, 31, 0, 29, 28, 2, 3,93.5,90.3,0.0
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,Mar-20, 102, 93, 9, 88, 88, 5, 5,94.6,94.6,8.8
Adelaide-Canberra,Adelaide,Canberra,Qantas,Mar-20, 42, 38, 4, 37, 37, 1, 1,97.4,97.4,9.5
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,Mar-20, 281, 252, 29, 214, 219, 38, 33,84.9,86.9,10.3
Adelaide-Perth,Adelaide,Perth,Qantas,Mar-20, 111, 102, 9, 90, 89, 12, 13,88.2,87.3,8.1
Adelaide-Sydney,Adelaide,Sydney,Qantas,Mar-20, 230, 213, 17, 184, 181, 29, 32,86.4,85.0,7.4
Alice Springs-Adelaide,Alice Springs,Adelaide,Qantas,Mar-20, 31, 31, 0, 26, 26, 5, 5,83.9,83.9,0.0
Brisbane-Adelaide,Brisbane,Adelaide,Qantas,Mar-20, 105, 92, 13, 80, 81, 12, 11,87.0,88.0,12.4
Brisbane-Cairns,Brisbane,Cairns,Qantas,Mar-20, 33, 25, 8, 25, 24, 0, 1,100.0,96.0,24.2
Brisbane-Darwin,Brisbane,Darwin,Qantas,Mar-20, 29, 29, 0, 21, 23, 8, 6,72.4,79.3,0.0
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,Mar-20, 378, 331, 47, 282, 275, 49, 56,85.2,83.1,12.4
Brisbane-Perth,Brisbane,Perth,Qantas,Mar-20, 142, 139, 3, 111, 114, 28, 25,79.9,82.0,2.1
Brisbane-Sydney,Brisbane,Sydney,Qantas,Mar-20, 574, 483, 91, 450, 440, 33, 43,93.2,91.1,15.9
Brisbane-Townsville,Brisbane,Townsville,Qantas,Mar-20, 42, 37, 5, 33, 34, 4, 3,89.2,91.9,11.9
Cairns-Brisbane,Cairns,Brisbane,Qantas,Mar-20, 32, 25, 7, 24, 25, 1, 0,96.0,100.0,21.9
Cairns-Melbourne,Cairns,Melbourne,Qantas,Mar-20, 33, 32, 1, 28, 28, 4, 4,87.5,87.5,3.0
Cairns-Sydney,Cairns,Sydney,Qantas,Mar-20, 54, 54, 0, 47, 47, 7, 7,87.0,87.0,0.0
Canberra-Adelaide,Canberra,Adelaide,Qantas,Mar-20, 42, 39, 3, 39, 38, 0, 1,100.0,97.4,7.1
Canberra-Melbourne,Canberra,Melbourne,Qantas,Mar-20, 228, 182, 46, 171, 162, 11, 20,94.0,89.0,20.2
Darwin-Brisbane,Darwin,Brisbane,Qantas,Mar-20, 29, 28, 1, 21, 22, 7, 6,75.0,78.6,3.4
Darwin-Melbourne,Darwin,Melbourne,Qantas,Mar-20, 28, 27, 1, 21, 23, 6, 4,77.8,85.2,3.6
Darwin-Perth,Darwin,Perth,Qantas,Mar-20, 30, 30, 0, 25, 25, 5, 5,83.3,83.3,0.0
Darwin-Sydney,Darwin,Sydney,Qantas,Mar-20, 32, 32, 0, 25, 26, 7, 6,78.1,81.3,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,Mar-20, 29, 27, 2, 22, 23, 5, 4,81.5,85.2,6.9
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,Mar-20, 56, 52, 4, 44, 45, 8, 7,84.6,86.5,7.1
Hamilton Island-Sydney,Hamilton Island,Sydney,Qantas,Mar-20, 7, 7, 0, 6, 7, 1, 0,85.7,100.0,0.0
Hobart-Melbourne,Hobart,Melbourne,Qantas,Mar-20, 105, 100, 5, 88, 87, 12, 13,88.0,87.0,4.8
Kalgoorlie-Perth,Kalgoorlie,Perth,Qantas,Mar-20, 13, 12, 1, 11, 11, 1, 1,91.7,91.7,7.7
Karratha-Perth,Karratha,Perth,Qantas,Mar-20, 65, 63, 2, 63, 62, 0, 1,100.0,98.4,3.1
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,Mar-20, 281, 251, 30, 215, 198, 36, 53,85.7,78.9,10.7
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,Mar-20, 379, 329, 50, 298, 286, 31, 43,90.6,86.9,13.2
Melbourne-Cairns,Melbourne,Cairns,Qantas,Mar-20, 33, 32, 1, 30, 30, 2, 2,93.8,93.8,3.0
